# loss accuracy val_loss val_accuracy
2.278785109519958496e-01 8.895713090896606445e-01 5.126767754554748535e-01 7.772556543350219727e-01
1.127511113882064819e-01 9.499273300170898438e-01 4.257126152515411377e-01 8.189027309417724609e-01
7.581566274166107178e-02 9.675090312957763672e-01 4.032970070838928223e-01 8.133223652839660645e-01
5.759465321898460388e-02 9.758388400077819824e-01 3.627021014690399170e-01 8.230145573616027832e-01
4.753397032618522644e-02 9.808086156845092773e-01 3.449437320232391357e-01 8.246005773544311523e-01
4.197546839714050293e-02 9.834966659545898438e-01 5.206075906753540039e-01 7.915295958518981934e-01
3.950605913996696472e-02 9.845906496047973633e-01 5.625959038734436035e-01 7.720864415168762207e-01
3.625107929110527039e-02 9.857940077781677246e-01 1.258401870727539062e+00 6.731085777282714844e-01
3.249093890190124512e-02 9.874036908149719238e-01 8.278961777687072754e-01 7.554041147232055664e-01
2.988548390567302704e-02 9.883413910865783691e-01 5.575603842735290527e-01 8.011043071746826172e-01
