# loss accuracy val_loss val_accuracy
2.297748625278472900e-01 8.869414925575256348e-01 1.364409029483795166e-01 9.339179992675781250e-01
1.351797431707382202e-01 9.382405281066894531e-01 8.298826962709426880e-02 9.738142490386962891e-01
9.490227699279785156e-02 9.626635313034057617e-01 8.148735016584396362e-02 9.704174995422363281e-01
7.258888334035873413e-02 9.715811014175415039e-01 4.260619729757308960e-02 9.875246882438659668e-01
5.554190650582313538e-02 9.792952537536621094e-01 2.512251399457454681e-02 9.919095635414123535e-01
5.010247230529785156e-02 9.823346138000488281e-01 1.823119632899761200e-02 9.929594993591308594e-01
4.199273511767387390e-02 9.845871329307556152e-01 1.367893964052200317e-01 9.267539381980895996e-01
3.954322263598442078e-02 9.864231348037719727e-01 3.532022610306739807e-02 9.862895011901855469e-01
3.462523594498634338e-02 9.875648021697998047e-01 2.008797042071819305e-02 9.922183752059936523e-01
3.113341704010963440e-02 9.888762235641479492e-01 2.100177295506000519e-02 9.921566247940063477e-01
3.012100420892238617e-02 9.896476268768310547e-01 1.162035949528217316e-02 9.959239363670349121e-01
2.960295230150222778e-02 9.901722073554992676e-01 1.408771239221096039e-02 9.954916238784790039e-01
2.686599828302860260e-02 9.906350374221801758e-01 1.516037806868553162e-02 9.947504997253417969e-01
2.406903542578220367e-02 9.916995763778686523e-01 9.662030264735221863e-03 9.970973134040832520e-01
2.473082765936851501e-02 9.920235872268676758e-01 1.827574893832206726e-02 9.938858747482299805e-01
